"symbol","date","price"
"PCECC96",2017-04-01,13225.743
"PCECC96",2017-07-01,13315.382
"PCECC96",2017-10-01,13460.902
"PCECC96",2018-01-01,13558.373
"PCECC96",2018-04-01,13630.967
"PCECC96",2018-07-01,13693.79
"PCECC96",2018-10-01,13736.572
"PCECC96",2019-01-01,13758.331
"PCECC96",2019-04-01,13875.705
"PCECC96",2019-07-01,14033.222
"PCECC96",2019-10-01,14125.274
"PCECC96",2020-01-01,13887.048
"PCECC96",2020-04-01,12685.319
"PCECC96",2020-07-01,13813.706
"PCECC96",2020-10-01,14001.366
"PCECC96",2021-01-01,14319.617
"PCECC96",2021-04-01,14820.014
"PCECC96",2021-07-01,14943.244
"PCECC96",2021-10-01,15086.862
"PCECC96",2022-01-01,15100.85
"PCECC96",2022-04-01,15224.357
"PCECC96",2022-07-01,15295.828
"PCECC96",2022-10-01,15326.248
"PCECC96",2023-01-01,15495.754
"PCECC96",2023-04-01,15553.719
"PCECC96",2023-07-01,15671.906
"PCECC96",2023-10-01,15789.717
"PCECC96",2024-01-01,15857.704
"PCECC96",2024-04-01,16009.637
"PCECC96",2024-07-01,16165.768
"PCECC96",2024-10-01,16320.89
"PCECC96",2025-01-01,16345.793
"PCECC96",2025-04-01,16445.685
"PCECC96",2025-07-01,16585.878
"PCECC96",2025-10-01,16665.219
"PCECC96",2026-01-01,16687.728
"PCECC96",2026-04-01,16817.938
